id,code,cluster_code,adm0_code,adm0_name,prov_text_code,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name,adm4_code,adm4_name,adm5_code,adm5_name,urban_rural,carto_house_count,carto_pop_count,import_code,status,comment,created_by,updated_by,created_at,updated_at,cluster_id
62,CE189,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031006,,Rural,92,459,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
63,CE188,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031010,,Rural,84,362,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
64,CE187,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031014,,Rural,102,540,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
65,CE186,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031018,,Rural,117,748,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
66,CE185,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031023,,Rural,103,523,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
67,CE184,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031027,,Rural,70,317,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
68,CE183,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031031,,Rural,101,444,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
69,CE182,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031035,,Rural,79,389,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
70,CE181,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031039,,Rural,75,384,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
71,CE180,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051004,,Rural,126,615,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
72,CE179,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051008,,Rural,95,393,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
73,CE178,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051013,,Rural,83,332,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
74,CE177,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051017,,Rural,72,354,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
75,CE176,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051021,,Rural,79,343,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
76,CE175,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051025,,Rural,87,554,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
77,CE174,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051030,,Rural,119,614,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
78,CE173,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051034,,Rural,91,561,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
79,CE172,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051038,,Rural,89,291,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
80,CE171,2356PN,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105105,KAKWELESA,01051051043,,Rural,68,339,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,10
81,CE170,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051071059,,Rural,113,433,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
82,CE169,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051071066,,Rural,151,621,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
83,CE168,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051071072,,Rural,109,400,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
84,CE167,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051071100,,Rural,132,561,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
85,CE166,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072006,,Urban,206,901,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
86,CE165,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072012,,Urban,61,242,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
87,CE164,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072019,,Urban,228,959,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
88,CE163,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072025,,Urban,167,730,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
89,CE162,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072031,,Urban,93,334,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
90,CE161,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072037,,Urban,127,496,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
91,CE160,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072043,,Urban,85,349,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
92,CE159,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072050,,Urban,156,765,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
93,CE158,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072056,,Urban,126,566,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
94,CE157,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072078,,Urban,159,798,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
95,CE156,1409SC,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105107,KAPIRI MPOSHI,01051072086,,Urban,94,478,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,203
